patient_id,n_windows,pct_agreement,n_disagree,accept_rate_cal,accept_rate_uncal,mean_abs_prob_shift,max_abs_prob_shift,accept_rate_delta
Sub34_aligned_data_ecg,38611,100.0,0,0.760948952371086,0.760948952371086,0.022728553095496273,0.03700739145278931,0.0
Sub35_aligned_data_ecg,41101,100.0,0,0.719179582005304,0.719179582005304,0.020335340792487378,0.03700733184814453,0.0
Sub36_aligned_data_ecg,36955,100.0,0,0.7445541875253687,0.7445541875253687,0.021346741696100662,0.03700733184814453,0.0
Sub37_aligned_data_ecg,37898,100.0,0,0.7204337959786796,0.7204337959786796,0.020273656254090968,0.03700733184814453,0.0
Sub38_aligned_data_ecg,37253,100.0,0,0.7043996456661209,0.7043996456661209,0.02103026408731235,0.03700733184814453,0.0
Sub39_aligned_data_ecg,41664,100.0,0,0.7263824884792627,0.7263824884792627,0.020487071103682832,0.03700733184814453,0.0
Sub40_aligned_data_ecg,38841,100.0,0,0.7245693983162123,0.7245693983162123,0.020985008130079114,0.037007302045822116,0.0
Sub41_aligned_data_ecg,38464,100.0,0,0.7279274126455907,0.7279274126455907,0.020169373292961357,0.03700739145278931,0.0
Sub42_aligned_data_ecg,36951,100.0,0,0.7002787475305133,0.7002787475305133,0.020864504218854076,0.03700739145278931,0.0
Sub43_aligned_data_ecg,36584,100.0,0,0.7273124863328231,0.7273124863328231,0.020395654779503506,0.03700739145278931,0.0
Sub44_aligned_data_ecg,39070,100.0,0,0.703045815203481,0.703045815203481,0.02012611909321096,0.03700739145278931,0.0
Sub45_aligned_data_ecg,37066,100.0,0,0.7291048400151082,0.7291048400151082,0.020698972860409396,0.03700733184814453,0.0
Sub46_aligned_data_ecg,37557,100.0,0,0.7105200095854302,0.7105200095854302,0.02035129478613753,0.03700733184814453,0.0
